C macros	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
RHF_GUARANTEE_INIT	(1 &lt;&lt; 5)	(1 &lt;&lt; 5)	(1 &lt;&lt; 5)	(1 &lt;&lt; 5)	(1 &lt;&lt; 5)
RHF_GUARANTEE_START_INIT	(1 &lt;&lt; 7)	(1 &lt;&lt; 7)	(1 &lt;&lt; 7)	(1 &lt;&lt; 7)	(1 &lt;&lt; 7)
RHF_NONE	0	0	0	0	0
RHF_NOTPOT	(1 &lt;&lt; 1)	(1 &lt;&lt; 1)	(1 &lt;&lt; 1)	(1 &lt;&lt; 1)	(1 &lt;&lt; 1)
RHF_NO_LIBRARY_REPLACEMENT	(1 &lt;&lt; 2)	(1 &lt;&lt; 2)	(1 &lt;&lt; 2)	(1 &lt;&lt; 2)	(1 &lt;&lt; 2)
RHF_NO_MOVE	(1 &lt;&lt; 3)	(1 &lt;&lt; 3)	(1 &lt;&lt; 3)	(1 &lt;&lt; 3)	(1 &lt;&lt; 3)
RHF_NO_UNRES_UNDEF	(1 &lt;&lt; 13)	(1 &lt;&lt; 13)	(1 &lt;&lt; 13)	(1 &lt;&lt; 13)	(1 &lt;&lt; 13)
RHF_PIXIE	(1 &lt;&lt; 8)	(1 &lt;&lt; 8)	(1 &lt;&lt; 8)	(1 &lt;&lt; 8)	(1 &lt;&lt; 8)
RHF_QUICKSTART	(1 &lt;&lt; 0)	(1 &lt;&lt; 0)	(1 &lt;&lt; 0)	(1 &lt;&lt; 0)	(1 &lt;&lt; 0)
RHF_REQUICKSTART	(1 &lt;&lt; 10)	(1 &lt;&lt; 10)	(1 &lt;&lt; 10)	(1 &lt;&lt; 10)	(1 &lt;&lt; 10)
RHF_REQUICKSTARTED	(1 &lt;&lt; 11)	(1 &lt;&lt; 11)	(1 &lt;&lt; 11)	(1 &lt;&lt; 11)	(1 &lt;&lt; 11)
RHF_RLD_ORDER_SAFE	(1 &lt;&lt; 14)	(1 &lt;&lt; 14)	(1 &lt;&lt; 14)	(1 &lt;&lt; 14)	(1 &lt;&lt; 14)
RHF_SGI_ONLY	(1 &lt;&lt; 4)	(1 &lt;&lt; 4)	(1 &lt;&lt; 4)	(1 &lt;&lt; 4)	(1 &lt;&lt; 4)
RTLD_BINDING_MASK	0x3	0x3	0x3	0x3	0x3
RTLD_DEEPBIND	0x00008	0x00008	0x00008	0x00008	0x00008
RTLD_DEFAULT	((void *) 0)	((void *) 0)	((void *) 0)	((void *) 0)	((void *) 0)
RTLD_GLOBAL	0x00100	0x00100	0x00100	0x00100	0x00100
RTLD_LAZY	0x00001	0x00001	0x00001	0x00001	0x00001
RTLD_LOCAL	0	0	0	0	0
RTLD_NEXT	((void *) -1l)	((void *) -1l)	((void *) -1l)	((void *) -1l)	((void *) -1l)
RTLD_NODELETE	0x01000	0x01000	0x01000	0x01000	0x01000
RTLD_NOLOAD	0x00004	0x00004	0x00004	0x00004	0x00004
RTLD_NOW	0x00002	0x00002	0x00002	0x00002	0x00002
RTSIG_MAX	32	32	32	32	32
R_386_16	20	20	20	20	20
R_386_32	1	1	1	1	1
R_386_32PLT	11	11	11	11	11
R_386_8	22	22	22	22	22
R_386_COPY	5	5	5	5	5
R_386_GLOB_DAT	6	6	6	6	6
R_386_GOT32	3	3	3	3	3
R_386_GOTOFF	9	9	9	9	9
R_386_GOTPC	10	10	10	10	10
R_386_IRELATIVE	42	42	42	???	???
R_386_JMP_SLOT	7	7	7	7	7
R_386_NONE	0	0	0	0	0
R_386_NUM	43	43	43	42	42
R_386_PC16	21	21	21	21	21
R_386_PC32	2	2	2	2	2
R_386_PC8	23	23	23	23	23
R_386_PLT32	4	4	4	4	4
R_386_RELATIVE	8	8	8	8	8
R_386_SIZE32	38	38	38	???	???
R_386_TLS_DESC	41	41	41	41	41
R_386_TLS_DESC_CALL	40	40	40	40	40
R_386_TLS_DTPMOD32	35	35	35	35	35
R_386_TLS_DTPOFF32	36	36	36	36	36
R_386_TLS_GD	18	18	18	18	18
R_386_TLS_GD_32	24	24	24	24	24
R_386_TLS_GD_CALL	26	26	26	26	26
R_386_TLS_GD_POP	27	27	27	27	27
R_386_TLS_GD_PUSH	25	25	25	25	25
R_386_TLS_GOTDESC	39	39	39	39	39
R_386_TLS_GOTIE	16	16	16	16	16
R_386_TLS_IE	15	15	15	15	15
R_386_TLS_IE_32	33	33	33	33	33
R_386_TLS_LDM	19	19	19	19	19
R_386_TLS_LDM_32	28	28	28	28	28
R_386_TLS_LDM_CALL	30	30	30	30	30
R_386_TLS_LDM_POP	31	31	31	31	31
R_386_TLS_LDM_PUSH	29	29	29	29	29
R_386_TLS_LDO_32	32	32	32	32	32
R_386_TLS_LE	17	17	17	17	17
R_386_TLS_LE_32	34	34	34	34	34
R_386_TLS_TPOFF	14	14	14	14	14
R_386_TLS_TPOFF32	37	37	37	37	37
R_390_12	2	2	2	2	2
R_390_16	3	3	3	3	3
R_390_20	57	57	57	57	57
R_390_32	4	4	4	4	4
R_390_64	22	22	22	22	22
R_390_8	1	1	1	1	1
R_390_COPY	9	9	9	9	9
R_390_GLOB_DAT	10	10	10	10	10
R_390_GOT12	6	6	6	6	6
R_390_GOT16	15	15	15	15	15
R_390_GOT20	58	58	58	58	58
R_390_GOT32	7	7	7	7	7
R_390_GOT64	24	24	24	24	24
R_390_GOTENT	26	26	26	26	26
R_390_GOTOFF16	27	27	27	27	27
R_390_GOTOFF32	13	13	13	13	13
R_390_GOTOFF64	28	28	28	28	28
R_390_GOTPC	14	14	14	14	14
R_390_GOTPCDBL	21	21	21	21	21
R_390_GOTPLT12	29	29	29	29	29
R_390_GOTPLT16	30	30	30	30	30
R_390_GOTPLT20	59	59	59	59	59
R_390_GOTPLT32	31	31	31	31	31
R_390_GOTPLT64	32	32	32	32	32
R_390_GOTPLTENT	33	33	33	33	33
R_390_IRELATIVE	61	61	61	???	???
R_390_JMP_SLOT	11	11	11	11	11
R_390_NONE	0	0	0	0	0
R_390_NUM	62	62	62	61	61
R_390_PC16	16	16	16	16	16
R_390_PC16DBL	17	17	17	17	17
R_390_PC32	5	5	5	5	5
R_390_PC32DBL	19	19	19	19	19
R_390_PC64	23	23	23	23	23
R_390_PLT16DBL	18	18	18	18	18
R_390_PLT32	8	8	8	8	8
R_390_PLT32DBL	20	20	20	20	20
R_390_PLT64	25	25	25	25	25
R_390_PLTOFF16	34	34	34	34	34
R_390_PLTOFF32	35	35	35	35	35
R_390_PLTOFF64	36	36	36	36	36
R_390_RELATIVE	12	12	12	12	12
R_390_TLS_DTPMOD	54	54	54	54	54
R_390_TLS_DTPOFF	55	55	55	55	55
R_390_TLS_GD32	40	40	40	40	40
R_390_TLS_GD64	41	41	41	41	41
R_390_TLS_GDCALL	38	38	38	38	38
R_390_TLS_GOTIE12	42	42	42	42	42
R_390_TLS_GOTIE20	60	60	60	60	60
R_390_TLS_GOTIE32	43	43	43	43	43
R_390_TLS_GOTIE64	44	44	44	44	44
R_390_TLS_IE32	47	47	47	47	47
R_390_TLS_IE64	48	48	48	48	48
R_390_TLS_IEENT	49	49	49	49	49
R_390_TLS_LDCALL	39	39	39	39	39
R_390_TLS_LDM32	45	45	45	45	45
R_390_TLS_LDM64	46	46	46	46	46
R_390_TLS_LDO32	52	52	52	52	52
R_390_TLS_LDO64	53	53	53	53	53
R_390_TLS_LE32	50	50	50	50	50
R_390_TLS_LE64	51	51	51	51	51
R_390_TLS_LOAD	37	37	37	37	37
R_390_TLS_TPOFF	56	56	56	56	56
R_68K_16	2	2	2	2	2
R_68K_32	1	1	1	1	1
R_68K_8	3	3	3	3	3
R_68K_COPY	19	19	19	19	19
R_68K_GLOB_DAT	20	20	20	20	20
R_68K_GOT16	8	8	8	8	8
R_68K_GOT16O	11	11	11	11	11
R_68K_GOT32	7	7	7	7	7
R_68K_GOT32O	10	10	10	10	10
R_68K_GOT8	9	9	9	9	9
R_68K_GOT8O	12	12	12	12	12
R_68K_JMP_SLOT	21	21	21	21	21
R_68K_NONE	0	0	0	0	0
R_68K_NUM	43	43	43	23	23
R_68K_PC16	5	5	5	5	5
R_68K_PC32	4	4	4	4	4
R_68K_PC8	6	6	6	6	6
R_68K_PLT16	14	14	14	14	14
R_68K_PLT16O	17	17	17	17	17
R_68K_PLT32	13	13	13	13	13
R_68K_PLT32O	16	16	16	16	16
R_68K_PLT8	15	15	15	15	15
R_68K_PLT8O	18	18	18	18	18
R_68K_RELATIVE	22	22	22	22	22
R_68K_TLS_DTPMOD32	40	40	40	???	???
R_68K_TLS_DTPREL32	41	41	41	???	???
R_68K_TLS_GD16	26	26	26	???	???
R_68K_TLS_GD32	25	25	25	???	???
R_68K_TLS_GD8	27	27	27	???	???
R_68K_TLS_IE16	35	35	35	???	???
R_68K_TLS_IE32	34	34	34	???	???
R_68K_TLS_IE8	36	36	36	???	???
R_68K_TLS_LDM16	29	29	29	???	???
R_68K_TLS_LDM32	28	28	28	???	???
R_68K_TLS_LDM8	30	30	30	???	???
R_68K_TLS_LDO16	32	32	32	???	???
R_68K_TLS_LDO32	31	31	31	???	???
R_68K_TLS_LDO8	33	33	33	???	???
R_68K_TLS_LE16	38	38	38	???	???
R_68K_TLS_LE32	37	37	37	???	???
R_68K_TLS_LE8	39	39	39	???	???
R_68K_TLS_TPREL32	42	42	42	???	???
R_AARCH64_ABS16	259	259	259	???	???
R_AARCH64_ABS32	258	258	258	???	???
R_AARCH64_ABS64	257	257	257	???	???
R_AARCH64_ADD_ABS_LO12_NC	277	277	277	???	???
R_AARCH64_ADR_GOT_PAGE	311	311	311	???	???
R_AARCH64_ADR_PREL_LO21	274	274	274	???	???
R_AARCH64_ADR_PREL_PG_HI21	275	275	275	???	???
R_AARCH64_ADR_PREL_PG_HI21_NC	276	276	276	???	???
R_AARCH64_CALL26	283	283	283	???	???
R_AARCH64_CONDBR19	280	280	280	???	???
R_AARCH64_COPY	1024	1024	1024	???	???
R_AARCH64_GLOB_DAT	1025	1025	1025	???	???
R_AARCH64_GOTREL32	308	308	308	???	???
R_AARCH64_GOTREL64	307	307	307	???	???
R_AARCH64_GOT_LD_PREL19	309	309	309	???	???
R_AARCH64_IRELATIVE	1032	1032	1032	???	???
R_AARCH64_JUMP26	282	282	282	???	???
R_AARCH64_JUMP_SLOT	1026	1026	1026	???	???
R_AARCH64_LD64_GOTOFF_LO15	310	310	310	???	???
R_AARCH64_LD64_GOTPAGE_LO15	313	313	313	???	???
R_AARCH64_LD64_GOT_LO12_NC	312	312	312	???	???
R_AARCH64_LDST128_ABS_LO12_NC	299	299	299	???	???
R_AARCH64_LDST16_ABS_LO12_NC	284	284	284	???	???
R_AARCH64_LDST32_ABS_LO12_NC	285	285	285	???	???
R_AARCH64_LDST64_ABS_LO12_NC	286	286	286	???	???
R_AARCH64_LDST8_ABS_LO12_NC	278	278	278	???	???
R_AARCH64_LD_PREL_LO19	273	273	273	???	???
R_AARCH64_MOVW_GOTOFF_G0	300	300	300	???	???
R_AARCH64_MOVW_GOTOFF_G0_NC	301	301	301	???	???
R_AARCH64_MOVW_GOTOFF_G1	302	302	302	???	???
R_AARCH64_MOVW_GOTOFF_G1_NC	303	303	303	???	???
R_AARCH64_MOVW_GOTOFF_G2	304	304	304	???	???
R_AARCH64_MOVW_GOTOFF_G2_NC	305	305	305	???	???
R_AARCH64_MOVW_GOTOFF_G3	306	306	306	???	???
R_AARCH64_MOVW_PREL_G0	287	287	287	???	???
R_AARCH64_MOVW_PREL_G0_NC	288	288	288	???	???
R_AARCH64_MOVW_PREL_G1	289	289	289	???	???
R_AARCH64_MOVW_PREL_G1_NC	290	290	290	???	???
R_AARCH64_MOVW_PREL_G2	291	291	291	???	???
R_AARCH64_MOVW_PREL_G2_NC	292	292	292	???	???
R_AARCH64_MOVW_PREL_G3	293	293	293	???	???
R_AARCH64_MOVW_SABS_G0	270	270	270	???	???
R_AARCH64_MOVW_SABS_G1	271	271	271	???	???
R_AARCH64_MOVW_SABS_G2	272	272	272	???	???
R_AARCH64_MOVW_UABS_G0	263	263	263	???	???
R_AARCH64_MOVW_UABS_G0_NC	264	264	264	???	???
R_AARCH64_MOVW_UABS_G1	265	265	265	???	???
R_AARCH64_MOVW_UABS_G1_NC	266	266	266	???	???
R_AARCH64_MOVW_UABS_G2	267	267	267	???	???
R_AARCH64_MOVW_UABS_G2_NC	268	268	268	???	???
R_AARCH64_MOVW_UABS_G3	269	269	269	???	???
R_AARCH64_NONE	0	0	0	???	???
R_AARCH64_PREL16	262	262	262	???	???
R_AARCH64_PREL32	261	261	261	???	???
R_AARCH64_PREL64	260	260	260	???	???
R_AARCH64_RELATIVE	1027	1027	1027	???	???
R_AARCH64_TLSDESC	1031	1031	1031	???	???
R_AARCH64_TLSDESC_ADD	568	568	568	???	???
R_AARCH64_TLSDESC_ADD_LO12	564	564	564	???	???
R_AARCH64_TLSDESC_ADR_PAGE21	562	562	562	???	???
R_AARCH64_TLSDESC_ADR_PREL21	561	561	561	???	???
R_AARCH64_TLSDESC_CALL	569	569	569	???	???
R_AARCH64_TLSDESC_LD64_LO12	563	563	563	???	???
R_AARCH64_TLSDESC_LDR	567	567	567	???	???
R_AARCH64_TLSDESC_LD_PREL19	560	560	560	???	???
R_AARCH64_TLSDESC_OFF_G0_NC	566	566	566	???	???
R_AARCH64_TLSDESC_OFF_G1	565	565	565	???	???
R_AARCH64_TLSGD_ADD_LO12_NC	514	514	514	???	???
R_AARCH64_TLSGD_ADR_PAGE21	513	513	513	???	???
R_AARCH64_TLSGD_ADR_PREL21	512	512	512	???	???
R_AARCH64_TLSGD_MOVW_G0_NC	516	516	516	???	???
R_AARCH64_TLSGD_MOVW_G1	515	515	515	???	???
R_AARCH64_TLSIE_ADR_GOTTPREL_PAGE21	541	541	541	???	???
R_AARCH64_TLSIE_LD64_GOTTPREL_LO12_NC	542	542	542	???	???
R_AARCH64_TLSIE_LD_GOTTPREL_PREL19	543	543	543	???	???
R_AARCH64_TLSIE_MOVW_GOTTPREL_G0_NC	540	540	540	???	???
R_AARCH64_TLSIE_MOVW_GOTTPREL_G1	539	539	539	???	???
R_AARCH64_TLSLD_ADD_DTPREL_HI12	528	528	528	???	???
R_AARCH64_TLSLD_ADD_DTPREL_LO12	529	529	529	???	???
R_AARCH64_TLSLD_ADD_DTPREL_LO12_NC	530	530	530	???	???
R_AARCH64_TLSLD_ADD_LO12_NC	519	519	519	???	???
R_AARCH64_TLSLD_ADR_PAGE21	518	518	518	???	???
R_AARCH64_TLSLD_ADR_PREL21	517	517	517	???	???
R_AARCH64_TLSLD_LDST128_DTPREL_LO12	572	572	572	???	???
R_AARCH64_TLSLD_LDST128_DTPREL_LO12_NC	573	573	573	???	???
R_AARCH64_TLSLD_LDST16_DTPREL_LO12	533	533	533	???	???
R_AARCH64_TLSLD_LDST16_DTPREL_LO12_NC	534	534	534	???	???
R_AARCH64_TLSLD_LDST32_DTPREL_LO12	535	535	535	???	???
R_AARCH64_TLSLD_LDST32_DTPREL_LO12_NC	536	536	536	???	???
R_AARCH64_TLSLD_LDST64_DTPREL_LO12	537	537	537	???	???
R_AARCH64_TLSLD_LDST64_DTPREL_LO12_NC	538	538	538	???	???
R_AARCH64_TLSLD_LDST8_DTPREL_LO12	531	531	531	???	???
R_AARCH64_TLSLD_LDST8_DTPREL_LO12_NC	532	532	532	???	???
R_AARCH64_TLSLD_LD_PREL19	522	522	522	???	???
R_AARCH64_TLSLD_MOVW_DTPREL_G0	526	526	526	???	???
R_AARCH64_TLSLD_MOVW_DTPREL_G0_NC	527	527	527	???	???
R_AARCH64_TLSLD_MOVW_DTPREL_G1	524	524	524	???	???
R_AARCH64_TLSLD_MOVW_DTPREL_G1_NC	525	525	525	???	???
R_AARCH64_TLSLD_MOVW_DTPREL_G2	523	523	523	???	???
R_AARCH64_TLSLD_MOVW_G0_NC	521	521	521	???	???
R_AARCH64_TLSLD_MOVW_G1	520	520	520	???	???
R_AARCH64_TLSLE_ADD_TPREL_HI12	549	549	549	???	???
R_AARCH64_TLSLE_ADD_TPREL_LO12	550	550	550	???	???
R_AARCH64_TLSLE_ADD_TPREL_LO12_NC	551	551	551	???	???
R_AARCH64_TLSLE_LDST128_TPREL_LO12	570	570	570	???	???
R_AARCH64_TLSLE_LDST128_TPREL_LO12_NC	571	571	571	???	???
R_AARCH64_TLSLE_LDST16_TPREL_LO12	554	554	554	???	???
R_AARCH64_TLSLE_LDST16_TPREL_LO12_NC	555	555	555	???	???
R_AARCH64_TLSLE_LDST32_TPREL_LO12	556	556	556	???	???
R_AARCH64_TLSLE_LDST32_TPREL_LO12_NC	557	557	557	???	???
R_AARCH64_TLSLE_LDST64_TPREL_LO12	558	558	558	???	???
R_AARCH64_TLSLE_LDST64_TPREL_LO12_NC	559	559	559	???	???
R_AARCH64_TLSLE_LDST8_TPREL_LO12	552	552	552	???	???
R_AARCH64_TLSLE_LDST8_TPREL_LO12_NC	553	553	553	???	???
R_AARCH64_TLSLE_MOVW_TPREL_G0	547	547	547	???	???
R_AARCH64_TLSLE_MOVW_TPREL_G0_NC	548	548	548	???	???
R_AARCH64_TLSLE_MOVW_TPREL_G1	545	545	545	???	???
R_AARCH64_TLSLE_MOVW_TPREL_G1_NC	546	546	546	???	???
R_AARCH64_TLSLE_MOVW_TPREL_G2	544	544	544	???	???
R_AARCH64_TLS_DTPMOD64	1028	1028	1028	???	???
R_AARCH64_TLS_DTPREL64	1029	1029	1029	???	???
R_AARCH64_TLS_TPREL64	1030	1030	1030	???	???
R_AARCH64_TSTBR14	279	279	279	???	???
R_ALPHA_BRADDR	7	7	7	7	7
R_ALPHA_COPY	24	24	24	24	24
R_ALPHA_DTPMOD64	31	31	31	31	31
R_ALPHA_DTPREL16	36	36	36	36	36
R_ALPHA_DTPREL64	33	33	33	33	33
R_ALPHA_DTPRELHI	34	34	34	34	34
R_ALPHA_DTPRELLO	35	35	35	35	35
R_ALPHA_GLOB_DAT	25	25	25	25	25
R_ALPHA_GOTDTPREL	32	32	32	32	32
R_ALPHA_GOTTPREL	37	37	37	37	37
R_ALPHA_GPDISP	6	6	6	6	6
R_ALPHA_GPREL16	19	19	19	19	19
R_ALPHA_GPREL32	3	3	3	3	3
R_ALPHA_GPRELHIGH	17	17	17	17	17
R_ALPHA_GPRELLOW	18	18	18	18	18
R_ALPHA_HINT	8	8	8	8	8
R_ALPHA_JMP_SLOT	26	26	26	26	26
R_ALPHA_LITERAL	4	4	4	4	4
R_ALPHA_LITUSE	5	5	5	5	5
R_ALPHA_NONE	0	0	0	0	0
R_ALPHA_NUM	46	46	46	46	46
R_ALPHA_REFLONG	1	1	1	1	1
R_ALPHA_REFQUAD	2	2	2	2	2
R_ALPHA_RELATIVE	27	27	27	27	27
R_ALPHA_SREL16	9	9	9	9	9
R_ALPHA_SREL32	10	10	10	10	10
R_ALPHA_SREL64	11	11	11	11	11
R_ALPHA_TLSGD	29	29	29	29	29
R_ALPHA_TLS_GD_HI	28	28	28	28	28
R_ALPHA_TLS_LDM	30	30	30	30	30
R_ALPHA_TPREL16	41	41	41	41	41
R_ALPHA_TPREL64	38	38	38	38	38
R_ALPHA_TPRELHI	39	39	39	39	39
R_ALPHA_TPRELLO	40	40	40	40	40
R_ARM_ABS12	6	6	6	6	6
R_ARM_ABS16	5	5	5	5	5
R_ARM_ABS32	2	2	2	2	2
R_ARM_ABS32_NOI	55	55	55	???	???
R_ARM_ABS8	8	8	8	8	8
R_ARM_ALU_PCREL_15_8	33	33	33	33	33
R_ARM_ALU_PCREL_23_15	34	34	34	34	34
R_ARM_ALU_PCREL_7_0	32	32	32	32	32
R_ARM_ALU_PC_G0	58	58	58	???	???
R_ARM_ALU_PC_G0_NC	57	57	57	???	???
R_ARM_ALU_PC_G1	60	60	60	???	???
R_ARM_ALU_PC_G1_NC	59	59	59	???	???
R_ARM_ALU_PC_G2	61	61	61	???	???
R_ARM_ALU_SBREL_19_12	36	36	36	36	36
R_ARM_ALU_SBREL_27_20	37	37	37	37	37
R_ARM_ALU_SB_G0	71	71	71	???	???
R_ARM_ALU_SB_G0_NC	70	70	70	???	???
R_ARM_ALU_SB_G1	73	73	73	???	???
R_ARM_ALU_SB_G1_NC	72	72	72	???	???
R_ARM_ALU_SB_G2	74	74	74	???	???
R_ARM_AMP_VCALL9	12	12	12	12	12
R_ARM_BASE_ABS	31	31	31	???	???
R_ARM_CALL	28	28	28	???	???
R_ARM_COPY	20	20	20	20	20
R_ARM_GLOB_DAT	21	21	21	21	21
R_ARM_GNU_VTENTRY	100	100	100	100	100
R_ARM_GNU_VTINHERIT	101	101	101	101	101
R_ARM_GOT32	26	26	26	26	26
R_ARM_GOTOFF	24	24	24	24	24
R_ARM_GOTOFF12	98	98	98	???	???
R_ARM_GOTPC	25	25	25	25	25
R_ARM_GOTRELAX	99	99	99	???	???
R_ARM_GOT_ABS	95	95	95	???	???
R_ARM_GOT_BREL12	97	97	97	???	???
R_ARM_GOT_PREL	96	96	96	???	???
R_ARM_IRELATIVE	160	160	160	???	???
R_ARM_JUMP24	29	29	29	???	???
R_ARM_JUMP_SLOT	22	22	22	22	22
R_ARM_LDC_PC_G0	67	67	67	???	???
R_ARM_LDC_PC_G1	68	68	68	???	???
R_ARM_LDC_PC_G2	69	69	69	???	???
R_ARM_LDC_SB_G0	81	81	81	???	???
R_ARM_LDC_SB_G1	82	82	82	???	???
R_ARM_LDC_SB_G2	83	83	83	???	???
R_ARM_LDRS_PC_G0	64	64	64	???	???
R_ARM_LDRS_PC_G1	65	65	65	???	???
R_ARM_LDRS_PC_G2	66	66	66	???	???
R_ARM_LDRS_SB_G0	78	78	78	???	???
R_ARM_LDRS_SB_G1	79	79	79	???	???
R_ARM_LDRS_SB_G2	80	80	80	???	???
R_ARM_LDR_PC_G1	62	62	62	???	???
R_ARM_LDR_PC_G2	63	63	63	???	???
R_ARM_LDR_SBREL_11_0	35	35	35	35	35
R_ARM_LDR_SB_G0	75	75	75	???	???
R_ARM_LDR_SB_G1	76	76	76	???	???
R_ARM_LDR_SB_G2	77	77	77	???	???
R_ARM_ME_TOO	128	128	128	???	???
R_ARM_MOVT_ABS	44	44	44	???	???
R_ARM_MOVT_BREL	85	85	85	???	???
R_ARM_MOVT_PREL	46	46	46	???	???
R_ARM_MOVW_ABS_NC	43	43	43	???	???
R_ARM_MOVW_BREL	86	86	86	???	???
R_ARM_MOVW_BREL_NC	84	84	84	???	???
R_ARM_MOVW_PREL_NC	45	45	45	???	???
R_ARM_NONE	0	0	0	0	0
R_ARM_NUM	256	256	256	256	256
R_ARM_PC13	4	4	4	4	4
R_ARM_PC24	1	1	1	1	1
R_ARM_PLT32	27	27	27	27	27
R_ARM_PLT32_ABS	94	94	94	???	???
R_ARM_PREL31	42	42	42	???	???
R_ARM_RABS22	253	253	253	253	253
R_ARM_RBASE	255	255	255	255	255
R_ARM_REL32	3	3	3	3	3
R_ARM_REL32_NOI	56	56	56	???	???
R_ARM_RELATIVE	23	23	23	23	23
R_ARM_RPC24	254	254	254	254	254
R_ARM_RREL32	252	252	252	252	252
R_ARM_RSBREL32	250	250	250	250	250
R_ARM_RXPC25	249	249	249	249	249
R_ARM_SBREL31	39	39	39	???	???
R_ARM_SBREL32	9	9	9	9	9
R_ARM_SWI24	13	13	13	13	13
R_ARM_TARGET1	38	38	38	???	???
R_ARM_TARGET2	41	41	41	???	???
R_ARM_THM_ABS5	7	7	7	7	7
R_ARM_THM_ALU_PREL_11_0	53	53	53	???	???
R_ARM_THM_GOT_BREL12	131	131	131	???	???
R_ARM_THM_JUMP19	51	51	51	???	???
R_ARM_THM_JUMP24	30	30	30	???	???
R_ARM_THM_JUMP6	52	52	52	???	???
R_ARM_THM_MOVT_ABS	48	48	48	???	???
R_ARM_THM_MOVT_BREL	88	88	88	???	???
R_ARM_THM_MOVT_PREL	50	50	50	???	???
R_ARM_THM_MOVW_ABS_NC	47	47	47	???	???
R_ARM_THM_MOVW_BREL	89	89	89	???	???
R_ARM_THM_MOVW_BREL_NC	87	87	87	???	???
R_ARM_THM_MOVW_PREL_NC	49	49	49	???	???
R_ARM_THM_PC11	102	102	102	102	102
R_ARM_THM_PC12	54	54	54	???	???
R_ARM_THM_PC22	10	10	10	10	10
R_ARM_THM_PC8	11	11	11	11	11
R_ARM_THM_PC9	103	103	103	103	103
R_ARM_THM_RPC22	251	251	251	251	251
R_ARM_THM_SWI8	14	14	14	14	14
R_ARM_THM_TLS_CALL	93	93	93	???	???
R_ARM_THM_TLS_DESCSEQ	129	129	129	???	???
R_ARM_THM_TLS_DESCSEQ16	129	129	129	???	???
R_ARM_THM_TLS_DESCSEQ32	130	130	130	???	???
R_ARM_THM_XPC22	16	16	16	16	16
R_ARM_TLS_CALL	91	91	91	???	???
R_ARM_TLS_DESC	13	13	13	???	???
R_ARM_TLS_DESCSEQ	92	92	92	???	???
R_ARM_TLS_DTPMOD32	17	17	17	17	17
R_ARM_TLS_DTPOFF32	18	18	18	18	18
R_ARM_TLS_GD32	104	104	104	104	104
R_ARM_TLS_GOTDESC	90	90	90	???	???
R_ARM_TLS_IE12GP	111	111	111	???	???
R_ARM_TLS_IE32	107	107	107	107	107
R_ARM_TLS_LDM32	105	105	105	105	105
R_ARM_TLS_LDO12	109	109	109	???	???
R_ARM_TLS_LDO32	106	106	106	106	106
R_ARM_TLS_LE12	110	110	110	???	???
R_ARM_TLS_LE32	108	108	108	108	108
R_ARM_TLS_TPOFF32	19	19	19	19	19
R_ARM_V4BX	40	40	40	???	???
R_ARM_XPC25	15	15	15	15	15
R_CRIS_16	2	2	2	2	2
R_CRIS_16_GOT	13	13	13	13	13
R_CRIS_16_GOTPLT	15	15	15	15	15
R_CRIS_16_PCREL	5	5	5	5	5
R_CRIS_32	3	3	3	3	3
R_CRIS_32_GOT	14	14	14	14	14
R_CRIS_32_GOTPLT	16	16	16	16	16
R_CRIS_32_GOTREL	17	17	17	17	17
R_CRIS_32_PCREL	6	6	6	6	6
R_CRIS_32_PLT_GOTREL	18	18	18	18	18
R_CRIS_32_PLT_PCREL	19	19	19	19	19
R_CRIS_8	1	1	1	1	1
R_CRIS_8_PCREL	4	4	4	4	4
R_CRIS_COPY	9	9	9	9	9
R_CRIS_GLOB_DAT	10	10	10	10	10
R_CRIS_GNU_VTENTRY	8	8	8	8	8
R_CRIS_GNU_VTINHERIT	7	7	7	7	7
R_CRIS_JUMP_SLOT	11	11	11	11	11
R_CRIS_NONE	0	0	0	0	0
R_CRIS_NUM	20	20	20	20	20
R_CRIS_RELATIVE	12	12	12	12	12
R_IA64_COPY	0x84	0x84	0x84	0x84	0x84
R_IA64_DIR32LSB	0x25	0x25	0x25	0x25	0x25
R_IA64_DIR32MSB	0x24	0x24	0x24	0x24	0x24
R_IA64_DIR64LSB	0x27	0x27	0x27	0x27	0x27
R_IA64_DIR64MSB	0x26	0x26	0x26	0x26	0x26
R_IA64_DTPMOD64LSB	0xa7	0xa7	0xa7	0xa7	0xa7
R_IA64_DTPMOD64MSB	0xa6	0xa6	0xa6	0xa6	0xa6
R_IA64_DTPREL14	0xb1	0xb1	0xb1	0xb1	0xb1
R_IA64_DTPREL22	0xb2	0xb2	0xb2	0xb2	0xb2
R_IA64_DTPREL32LSB	0xb5	0xb5	0xb5	0xb5	0xb5
R_IA64_DTPREL32MSB	0xb4	0xb4	0xb4	0xb4	0xb4
R_IA64_DTPREL64I	0xb3	0xb3	0xb3	0xb3	0xb3
R_IA64_DTPREL64LSB	0xb7	0xb7	0xb7	0xb7	0xb7
R_IA64_DTPREL64MSB	0xb6	0xb6	0xb6	0xb6	0xb6
R_IA64_FPTR32LSB	0x45	0x45	0x45	0x45	0x45
R_IA64_FPTR32MSB	0x44	0x44	0x44	0x44	0x44
